Prop_Genes	Prop_Tandem	Prop_RNATE	Prop_DNATE	Subgenome
0.006935	0.0	0.752184	0.062674	Maize1
0.056083	0.0	0.741631	0.122877	Nonsyntenic
0.038565	0.0	0.70633	0.12958	Nonsyntenic
0.028335	0.0	0.785869	0.118112	Nonsyntenic
0.004495	0.0	0.841363	0.246346	Nonsyntenic
0.005895	0.001553	0.693348	0.178359	Nonsyntenic
0.004268	0.0	0.618996	0.08029	Nonsyntenic
0.041594	0.0	0.767099	0.151669	Nonsyntenic
0.019786	0.009574	0.640125	0.109829	Nonsyntenic
0.001275	0.0	0.792535	0.147229	Nonsyntenic
0.00867	0.0	0.834833	0.203707	Nonsyntenic
0.007524	0.0	0.669672	0.117098	Nonsyntenic
0.04059	0.0	0.626778	0.112208	Maize1
0.015736	0.0	0.7868	0.155698	Maize1
0.028072	0.003924	0.644606	0.211765	Maize1
0.044969	0.0	0.662074	0.185592	Maize1
0.043656	0.0	0.665309	0.163643	Maize1
0.006232	0.0	0.794449	0.172094	Nonsyntenic
0.024975	0.0	0.715587	0.222707	Nonsyntenic
0.069028	0.0	0.737608	0.15489	Nonsyntenic
0.053721	0.0	0.598185	0.167144	Nonsyntenic
0.032216	0.0	0.655009	0.193081	Maize1
0.030416	0.0	0.730476	0.102405	Maize1
0.044401	0.0	0.6825	0.196181	Maize1
0.0583	0.001805	0.682375	0.180845	Maize1
0.015664	0.0	0.796274	0.146656	Maize1
0.021922	0.002659	0.733985	0.1631	Maize1
0.017254	0.002673	0.727718	0.178272	Maize1
0.027478	0.0	0.637066	0.198743	Maize1
0.029282	0.0	0.612572	0.185173	Maize1
0.039346	0.0	0.658349	0.173035	Maize1
0.105132	0.0	0.507459	0.156925	Maize1
0.019057	0.003026	0.735155	0.171147	Nonsyntenic
0.0744	0.058932	0.604586	0.142389	Nonsyntenic
0.028178	0.003336	0.628606	0.194601	Maize1
0.016539	0.004081	0.775465	0.246241	Maize1
0.056332	0.0	0.667207	0.125155	Maize1
0.014357	0.0	0.588537	0.139372	Maize1
0.071105	0.013523	0.683323	0.238108	Maize1
0.052759	0.046207	0.732279	0.242074	Maize1
0.161436	0.01941	0.689953	0.154892	Maize1
0.044183	0.0	0.736099	0.211996	Maize1
0.017827	0.009409	0.698345	0.14721	Maize1
0.015657	0.0	0.707126	0.191777	Maize1
0.087659	0.0	0.646588	0.2699	Maize1
0.076296	0.0	0.699861	0.221693	Maize1
0.085217	0.000492	0.724232	0.18525	Maize1
0.077361	0.0	0.731154	0.17243	Maize1
0.069101	0.008496	0.621637	0.212597	Maize1
0.046497	0.0	0.712047	0.216048	Maize1
0.029769	0.004412	0.762882	0.199551	Maize1
0.035846	0.002109	0.680356	0.169556	Maize1
0.054424	0.0	0.615422	0.178492	Nonsyntenic
0.049794	0.006222	0.736323	0.223998	Nonsyntenic
0.102921	0.003174	0.67813	0.234355	Maize1
0.06351	0.033084	0.664848	0.235414	Nonsyntenic
0.089343	0.00357	0.692247	0.263686	Maize1
0.078782	0.015478	0.645933	0.23529	Maize1
0.070219	0.001363	0.702396	0.201697	Maize1
0.075403	0.029333	0.693832	0.228024	Nonsyntenic
0.016033	0.006738	0.818837	0.244851	Nonsyntenic
0.064186	0.005285	0.681601	0.196799	Maize1
0.099641	0.0	0.608094	0.205699	Maize1
0.07393	0.0	0.695671	0.216821	Maize1
0.091751	0.011228	0.65896	0.160242	Maize1
0.078214	0.020904	0.663049	0.152521	Maize1
0.054835	0.002786	0.733868	0.15378	Maize1
0.079101	0.0	0.65591	0.20474	Maize1
0.073721	0.0	0.611864	0.196629	Maize1
0.105081	0.006093	0.627056	0.281381	Maize1
0.139812	0.013198	0.698774	0.32316	Maize1
0.076709	0.0	0.637721	0.198619	Maize1
0.049827	0.0	0.635963	0.225492	Maize1
0.054866	0.007441	0.722579	0.194304	Maize1
0.091339	0.013432	0.662319	0.25264	Maize1
0.063159	0.0	0.702049	0.206692	Maize1
0.101651	0.0	0.641249	0.224267	Maize1
0.050869	0.0	0.63453	0.230041	Maize1
0.053516	0.002466	0.609948	0.111187	Maize1
0.104457	0.032927	0.718524	0.222757	Maize1
0.11179	0.01201	0.598638	0.252824	Maize1
0.060466	0.011071	0.563892	0.166725	Maize1
0.046517	0.010122	0.653545	0.182081	Maize1
0.083439	0.0	0.640086	0.212856	Maize1
0.10796	0.001593	0.624766	0.209081	Maize1
0.079302	0.0	0.628181	0.228284	Maize1
0.081158	0.0	0.705553	0.167291	Maize1
0.063216	0.002816	0.648977	0.235105	Maize1
0.054615	0.0	0.600257	0.168981	Maize1
0.092371	0.0	0.624969	0.135999	Maize1
0.046451	0.003614	0.5782	0.181397	Maize1
0.089959	0.0	0.605984	0.177095	Maize1
0.086404	0.001557	0.408859	0.245729	Maize1
0.06302	0.0	0.650514	0.276644	Maize1
0.095087	0.0	0.591615	0.169518	Maize1
0.091388	0.0	0.535255	0.129202	Maize1
0.107405	0.0	0.600811	0.168791	Maize1
0.115174	0.010193	0.586188	0.223402	Maize1
0.092008	0.001323	0.548647	0.219692	Maize1
0.088918	0.003141	0.639526	0.15876	Maize1
0.08441	0.002989	0.6633	0.218632	Maize1
0.139976	0.005245	0.63114	0.193928	Maize1
0.092828	0.009636	0.607251	0.217773	Maize1
0.148935	0.01479	0.674424	0.209919	Maize1
0.097097	0.003181	0.594161	0.221422	Maize1
0.129434	0.0	0.572226	0.136727	Maize1
0.077483	0.006602	0.678797	0.269036	Maize1
0.095073	0.002904	0.631795	0.199815	Maize1
0.107935	0.007679	0.710363	0.145321	Maize1
0.131298	0.011738	0.540934	0.202367	Nonsyntenic
0.146023	0.006189	0.576371	0.195167	Maize1
0.10441	0.023318	0.550737	0.154296	Maize1
0.104226	0.00618	0.579862	0.207077	Maize1
0.07457	0.007256	0.674406	0.222348	Maize1
0.06586	0.0	0.501398	0.127514	Maize1
0.085576	0.002171	0.684514	0.170496	Maize1
