Interval	N_Genes	N_Tandem	N_RNATE	N_DNATE	Subgenome
3:45000000-46000000	6	0	69	28	maize1
3:46000000-47000000	10	5	50	28	maize1
3:47000000-48000000	18	1	64	34	maize1
3:48000000-49000000	14	0	69	33	maize1
3:49000000-50000000	9	2	64	30	maize1
3:50000000-51000000	11	1	67	31	maize1
3:51000000-52000000	10	2	69	36	maize1
3:52000000-53000000	11	0	62	28	maize1
3:53000000-54000000	7	2	66	18	maize1
3:54000000-55000000	11	0	66	35	maize1
3:55000000-56000000	16	3	66	29	maize1
3:56000000-57000000	7	3	67	32	maize1
3:57000000-58000000	14	0	66	21	maize1
3:58000000-59000000	16	2	66	29	maize1
3:59000000-60000000	15	2	66	33	maize1
3:60000000-61000000	14	3	65	21	maize1
3:61000000-62000000	4	0	72	17	maize1
3:62000000-63000000	2	0	73	22	maize1
3:63000000-64000000	7	0	67	18	maize1
3:64000000-65000000	14	2	70	32	maize1
3:65000000-66000000	11	3	66	27	maize1
3:66000000-67000000	9	0	57	20	maize1
3:67000000-68000000	11	2	59	30	maize1
3:68000000-69000000	11	0	62	27	maize1
3:69000000-70000000	4	2	74	27	Nonsyntenic
3:70000000-71000000	4	1	66	22	Nonsyntenic
3:71000000-72000000	5	1	71	29	Nonsyntenic
3:72000000-73000000	2	0	75	14	Nonsyntenic
3:73000000-74000000	2	0	71	26	Nonsyntenic
3:74000000-75000000	7	0	74	23	Nonsyntenic
3:75000000-76000000	2	0	75	23	Nonsyntenic
3:76000000-77000000	3	0	69	20	Nonsyntenic
3:77000000-78000000	5	0	71	15	Nonsyntenic
3:78000000-79000000	5	2	58	23	Nonsyntenic
3:79000000-80000000	3	2	67	18	Nonsyntenic
3:80000000-81000000	5	0	62	26	Nonsyntenic
3:81000000-82000000	3	0	71	29	maize1
3:82000000-83000000	3	0	69	17	maize1
3:83000000-84000000	3	0	73	24	Nonsyntenic
3:84000000-85000000	0	0	77	31	Nonsyntenic
3:85000000-86000000	4	0	79	23	Nonsyntenic
3:86000000-87000000	2	0	49	11	Nonsyntenic
3:87000000-88000000	6	0	69	23	Nonsyntenic
3:88000000-89000000	7	0	67	21	Nonsyntenic
3:89000000-90000000	6	1	61	28	maize2
3:90000000-91000000	2	1	73	13	maize2
3:91000000-92000000	3	0	60	24	maize2
3:92000000-93000000	8	0	64	27	maize2
3:93000000-94000000	9	0	60	25	maize2
3:94000000-95000000	8	0	67	28	maize2
3:95000000-96000000	6	0	72	21	maize2
3:96000000-97000000	7	2	74	20	maize2
3:97000000-98000000	13	0	68	25	maize2
3:98000000-99000000	2	0	72	28	maize2
3:99000000-100000000	9	2	70	24	maize2
3:100000000-101000000	15	0	65	32	maize2
3:101000000-102000000	6	1	62	30	maize2
3:102000000-103000000	6	1	71	28	Nonsyntenic
3:103000000-104000000	3	0	70	25	Nonsyntenic
3:104000000-105000000	6	0	68	15	Nonsyntenic
3:105000000-106000000	15	0	60	19	maize2
3:106000000-107000000	9	1	67	28	maize2
3:107000000-108000000	8	1	65	30	maize2
3:108000000-109000000	10	0	65	19	maize2
3:109000000-110000000	9	0	62	28	maize2
3:110000000-111000000	13	2	58	28	maize2
3:111000000-112000000	9	0	62	26	Nonsyntenic
3:112000000-113000000	14	0	70	36	Nonsyntenic
3:113000000-114000000	8	0	61	24	Nonsyntenic
3:114000000-115000000	17	0	70	28	maize2
3:115000000-116000000	12	0	74	29	maize2
3:116000000-117000000	5	0	73	31	maize2
3:117000000-118000000	7	2	68	27	maize2
3:118000000-119000000	8	2	60	28	maize2
3:119000000-120000000	10	0	62	20	maize2
3:120000000-121000000	7	2	71	24	maize2
3:121000000-122000000	11	0	70	33	maize2
3:122000000-123000000	7	0	74	35	maize2
3:123000000-124000000	4	0	64	24	maize2
3:124000000-125000000	9	0	69	23	Nonsyntenic
3:125000000-126000000	15	2	65	24	maize2
3:126000000-127000000	20	2	73	35	maize2
3:127000000-128000000	17	4	66	40	maize2
3:128000000-129000000	14	0	62	24	maize2
3:129000000-130000000	28	0	64	24	maize2
3:130000000-131000000	8	0	66	26	maize2
3:131000000-132000000	8	0	62	21	maize2
3:132000000-133000000	14	5	65	25	maize2
3:133000000-134000000	18	1	62	35	maize2
3:134000000-135000000	14	0	64	40	maize2
3:135000000-136000000	25	0	63	23	Nonsyntenic
3:136000000-137000000	14	0	63	41	Nonsyntenic
3:137000000-138000000	10	2	59	27	Nonsyntenic
3:138000000-139000000	22	3	64	29	Nonsyntenic
3:139000000-140000000	24	2	69	28	Nonsyntenic
3:140000000-141000000	10	1	63	27	Nonsyntenic
3:141000000-142000000	18	0	70	29	maize2
3:142000000-143000000	17	2	74	32	maize2
3:143000000-144000000	16	1	67	20	Nonsyntenic
3:144000000-145000000	16	1	71	23	Nonsyntenic
3:145000000-146000000	13	0	66	27	maize1
3:146000000-147000000	27	5	69	30	maize1
3:147000000-148000000	25	2	68	26	maize1
3:148000000-149000000	19	0	62	30	maize1
3:149000000-150000000	19	0	60	34	maize1
3:150000000-151000000	25	8	62	29	maize1
3:151000000-152000000	11	2	67	23	maize1
3:152000000-153000000	10	5	64	30	maize1
3:153000000-154000000	17	4	69	29	maize1
3:154000000-155000000	12	6	63	18	maize1
3:155000000-156000000	23	5	66	28	maize1
3:156000000-157000000	23	7	57	33	maize1
3:157000000-158000000	22	2	68	40	maize1
3:158000000-159000000	21	5	68	31	maize1
3:159000000-160000000	8	0	67	33	maize1
3:160000000-161000000	13	2	68	32	maize1
3:161000000-162000000	15	2	65	36	maize1
3:162000000-163000000	16	0	68	30	maize1
3:163000000-164000000	21	1	65	33	maize1
3:164000000-165000000	17	2	66	26	maize1
3:165000000-166000000	1	0	39	13	maize1
3:166000000-167000000	11	1	63	27	maize1
3:167000000-168000000	13	0	62	29	maize1
3:168000000-169000000	25	0	60	25	maize1
3:169000000-170000000	20	0	61	32	maize1
3:170000000-171000000	23	2	62	22	maize1
3:171000000-172000000	24	4	64	33	maize1
3:172000000-173000000	21	3	65	34	maize1
3:173000000-174000000	19	0	67	28	maize1
3:174000000-175000000	22	0	62	23	maize1
3:175000000-176000000	23	2	71	38	maize1
3:176000000-177000000	16	3	69	27	maize1
3:177000000-178000000	18	0	63	24	maize1
3:178000000-179000000	37	5	54	36	maize1
3:179000000-180000000	31	6	67	36	maize1
3:180000000-181000000	13	2	59	28	maize1
3:181000000-182000000	28	0	64	32	maize1
3:182000000-183000000	28	2	63	34	maize1
3:183000000-184000000	26	3	60	37	maize1
3:184000000-185000000	35	2	66	34	maize1
3:185000000-186000000	21	1	70	28	maize1
3:186000000-187000000	30	5	69	40	maize1
3:187000000-188000000	27	2	63	33	maize1
3:188000000-189000000	25	1	66	27	maize1
3:189000000-190000000	41	2	57	36	maize1
3:190000000-191000000	43	2	65	38	maize1
3:191000000-192000000	19	3	65	31	maize1
3:192000000-193000000	28	3	56	32	maize1
3:193000000-194000000	27	3	57	28	maize1
3:194000000-195000000	24	2	62	25	maize1
3:195000000-196000000	8	0	70	25	maize1
3:196000000-197000000	16	0	58	39	maize1
3:197000000-198000000	31	0	62	33	maize1
3:198000000-199000000	30	2	65	42	maize1
3:199000000-200000000	27	0	60	25	Nonsyntenic
3:200000000-201000000	26	1	60	28	maize1
3:201000000-202000000	24	1	60	32	Nonsyntenic
3:202000000-203000000	25	2	58	24	Nonsyntenic
3:203000000-204000000	24	2	65	23	Nonsyntenic
3:204000000-205000000	35	2	63	41	Nonsyntenic
3:205000000-206000000	34	6	57	34	maize1
3:206000000-207000000	21	1	59	33	maize1
3:207000000-208000000	28	2	60	45	maize1
3:208000000-209000000	28	7	64	30	maize1
3:209000000-210000000	25	2	67	40	maize1
3:210000000-211000000	40	10	48	28	maize1
3:211000000-212000000	20	0	59	31	maize1
3:212000000-213000000	28	4	61	26	maize1
3:213000000-214000000	31	0	64	40	maize1
3:214000000-215000000	29	2	64	38	maize1
3:215000000-216000000	27	3	65	30	maize1
3:216000000-217000000	20	2	60	36	maize1
3:217000000-218000000	27	11	59	37	maize1
3:218000000-219000000	29	0	51	33	maize1
3:219000000-220000000	27	5	63	36	maize1
3:220000000-221000000	28	7	61	32	maize1
3:221000000-222000000	38	2	50	31	maize1
3:222000000-223000000	25	3	64	26	Nonsyntenic
3:223000000-224000000	26	2	52	41	maize1
3:224000000-225000000	24	3	60	25	maize1
3:225000000-226000000	41	7	66	27	maize1
3:226000000-227000000	29	5	58	30	maize1
3:227000000-228000000	37	8	56	44	maize1
3:228000000-229000000	29	7	59	43	maize1
3:229000000-230000000	25	0	56	30	Nonsyntenic
3:230000000-231000000	27	0	52	28	maize1
3:231000000-232000000	37	1	55	32	maize1
3:232000000-233000000	18	8	63	22	Nonsyntenic
3:233000000-234000000	42	5	56	35	Nonsyntenic
3:234000000-235000000	37	6	56	35	maize2
3:235000000-235667834	22	0	34	22	Nonsyntenic
4:0-1000000	13	3	80	30	maize1
4:1000000-2000000	38	5	54	29	maize1
4:2000000-3000000	26	6	24	14	maize1
4:3000000-4000000	36	8	41	36	maize1
4:4000000-5000000	35	13	52	40	maize1
4:5000000-6000000	54	17	53	45	maize1
4:6000000-7000000	46	16	58	33	maize1
4:7000000-8000000	27	2	61	46	maize1
4:8000000-9000000	12	0	68	25	maize1
4:9000000-10000000	3	0	81	22	maize1
4:10000000-11000000	19	5	60	23	maize1
4:11000000-12000000	27	8	57	36	maize1
4:12000000-13000000	24	0	54	31	maize1
4:13000000-14000000	17	2	62	39	Nonsyntenic
4:14000000-15000000	22	2	59	41	maize1
4:15000000-16000000	20	0	69	29	Nonsyntenic
4:16000000-17000000	23	5	67	33	maize1
4:17000000-18000000	15	2	64	32	Nonsyntenic
4:18000000-19000000	15	0	61	34	Nonsyntenic
4:19000000-20000000	22	5	62	34	maize1
4:20000000-21000000	14	0	70	28	maize1
4:21000000-22000000	18	4	55	31	Nonsyntenic
4:22000000-23000000	16	0	74	29	Nonsyntenic
4:23000000-24000000	14	2	58	25	maize1
4:24000000-25000000	16	6	62	33	maize1
4:25000000-26000000	14	2	60	32	Nonsyntenic
4:26000000-27000000	12	0	71	36	Nonsyntenic
4:27000000-28000000	25	0	64	34	Nonsyntenic
4:28000000-29000000	23	0	67	36	maize2
4:29000000-30000000	23	5	73	40	maize2
4:30000000-31000000	29	15	66	35	maize2
4:31000000-32000000	17	0	70	28	maize2
4:32000000-33000000	25	2	70	23	maize2
4:33000000-34000000	17	4	63	35	maize2
4:34000000-35000000	12	0	70	27	maize2
4:35000000-36000000	16	2	68	28	maize2
4:36000000-37000000	19	0	60	27	maize2
4:37000000-38000000	19	0	63	36	maize2
4:38000000-39000000	30	0	66	41	maize2
4:39000000-40000000	23	2	68	36	maize2
4:40000000-41000000	19	0	59	36	maize2
4:41000000-42000000	21	0	66	31	maize2
4:42000000-43000000	12	0	75	25	Nonsyntenic
4:43000000-44000000	15	0	64	27	maize2
4:44000000-45000000	19	5	60	33	maize2
4:45000000-46000000	17	0	65	27	maize2
4:46000000-47000000	12	2	69	43	maize2
4:47000000-48000000	14	6	69	22	maize2
4:48000000-49000000	7	0	64	23	maize2
4:49000000-50000000	10	0	64	34	Nonsyntenic
4:50000000-51000000	8	0	70	26	Nonsyntenic
4:51000000-52000000	11	0	59	26	maize2
4:52000000-53000000	11	0	66	26	maize2
4:53000000-54000000	11	0	69	33	maize2
4:54000000-55000000	8	2	66	21	maize2
4:55000000-56000000	9	0	69	31	maize2
4:56000000-57000000	16	0	59	36	Nonsyntenic
4:57000000-58000000	5	0	64	14	Nonsyntenic
4:58000000-59000000	9	2	60	29	maize2
4:59000000-60000000	10	0	66	27	maize2
4:60000000-61000000	8	0	65	29	Nonsyntenic
4:61000000-62000000	10	2	78	34	Nonsyntenic
4:62000000-63000000	11	0	71	36	Nonsyntenic
4:63000000-64000000	5	0	62	29	maize2
4:64000000-65000000	11	3	64	23	maize2
4:65000000-66000000	15	4	70	27	maize2
4:66000000-67000000	7	0	70	25	maize2
4:67000000-68000000	7	0	72	28	Nonsyntenic
4:68000000-69000000	12	2	66	20	Nonsyntenic
4:69000000-70000000	20	1	59	33	Nonsyntenic
4:70000000-71000000	11	3	62	29	maize2
4:71000000-72000000	9	0	66	25	Nonsyntenic
4:72000000-73000000	6	2	68	28	maize2
4:73000000-74000000	11	0	69	21	maize2
4:74000000-75000000	9	0	65	27	Nonsyntenic
4:75000000-76000000	10	0	61	26	Nonsyntenic
4:76000000-77000000	8	0	75	25	maize2
4:77000000-78000000	14	2	65	34	maize2
4:78000000-79000000	11	0	57	30	maize2
4:79000000-80000000	9	0	63	28	maize2
4:80000000-81000000	11	0	66	32	maize2
4:81000000-82000000	15	0	65	26	maize2
4:82000000-83000000	11	0	69	32	maize2
4:83000000-84000000	7	0	66	22	maize2
4:84000000-85000000	8	0	58	34	maize2
4:85000000-86000000	10	2	61	29	maize2
4:86000000-87000000	13	0	59	24	Nonsyntenic
4:87000000-88000000	9	0	62	24	maize2
4:88000000-89000000	9	0	62	29	Nonsyntenic
4:89000000-90000000	8	0	68	26	Nonsyntenic
4:90000000-91000000	8	0	63	29	Nonsyntenic
4:91000000-92000000	9	1	62	18	Nonsyntenic
4:92000000-93000000	5	0	76	29	Nonsyntenic
4:93000000-94000000	5	1	70	25	Nonsyntenic
4:94000000-95000000	8	0	68	21	Nonsyntenic
4:95000000-96000000	5	0	67	25	Nonsyntenic
4:96000000-97000000	3	0	75	20	Nonsyntenic
4:97000000-98000000	6	0	72	21	Nonsyntenic
4:98000000-99000000	2	0	65	20	Nonsyntenic
4:99000000-100000000	6	0	76	20	Nonsyntenic
4:100000000-101000000	3	0	68	31	maize2
4:101000000-102000000	10	0	61	31	maize2
4:102000000-103000000	5	0	72	33	maize2
4:103000000-104000000	15	2	59	25	maize2
4:104000000-105000000	6	0	66	22	maize2
4:105000000-106000000	7	0	67	25	maize2
4:106000000-107000000	1	0	75	21	maize2
4:107000000-108000000	3	0	53	13	maize2
4:108000000-109000000	1	0	75	21	maize2
4:109000000-110000000	4	0	59	12	maize2
4:110000000-111000000	1	0	73	15	maize2
4:111000000-112000000	0	0	71	22	maize2
4:112000000-113000000	5	0	68	25	maize2
4:113000000-114000000	2	0	69	24	maize2
4:114000000-115000000	5	0	67	24	maize2
4:115000000-116000000	9	2	61	16	maize2
4:116000000-117000000	9	0	65	18	maize2
4:117000000-118000000	5	0	58	24	maize2
4:118000000-119000000	7	0	61	26	maize2
4:119000000-120000000	2	0	68	18	maize2
4:120000000-121000000	6	0	68	25	maize2
4:121000000-122000000	8	0	68	22	maize2
4:122000000-123000000	7	0	62	26	maize2
4:123000000-124000000	11	0	65	28	maize2
4:124000000-125000000	12	0	67	27	maize2
4:125000000-126000000	10	0	61	35	maize2
4:126000000-127000000	10	0	66	25	maize2
4:127000000-128000000	14	0	59	21	maize2
4:128000000-129000000	16	0	64	24	maize2
4:129000000-130000000	7	0	75	32	maize2
4:130000000-131000000	8	0	70	20	maize2
4:131000000-132000000	8	2	71	24	maize2
4:132000000-133000000	12	0	61	34	maize2
4:133000000-134000000	13	0	62	26	maize2
4:134000000-135000000	13	0	62	33	maize2
4:135000000-136000000	10	0	70	23	maize2
4:136000000-137000000	10	0	67	30	maize2
4:137000000-138000000	15	2	61	21	maize2
4:138000000-139000000	10	0	61	24	maize2
4:139000000-140000000	7	0	71	24	maize2
4:140000000-141000000	10	0	63	21	maize2
4:141000000-142000000	14	6	64	29	maize2
4:142000000-143000000	6	2	75	23	maize2
4:143000000-144000000	8	0	71	23	maize2
4:144000000-145000000	12	0	69	38	maize2
4:145000000-146000000	13	0	62	26	maize2
4:146000000-147000000	12	3	67	19	maize2
4:147000000-148000000	15	0	66	34	maize2
4:148000000-149000000	14	3	66	29	maize2
4:149000000-150000000	13	2	68	36	maize2
4:150000000-151000000	14	3	62	23	maize2
4:151000000-152000000	17	2	64	34	maize2
4:152000000-153000000	15	0	62	30	maize2
4:153000000-154000000	6	2	74	25	maize2
4:154000000-155000000	10	0	74	36	maize2
4:155000000-156000000	24	4	64	40	maize2
4:156000000-157000000	22	0	64	35	maize2
4:157000000-158000000	24	8	62	34	maize2
4:158000000-159000000	18	0	70	32	maize2
4:159000000-160000000	26	2	62	44	maize2
4:160000000-161000000	29	2	65	38	maize2
4:161000000-162000000	24	0	60	40	maize2
4:162000000-163000000	22	0	59	35	maize2
4:163000000-164000000	16	0	56	34	maize2
4:164000000-165000000	27	2	62	37	maize2
4:165000000-166000000	30	2	62	33	Nonsyntenic
4:166000000-167000000	27	4	61	34	Nonsyntenic
4:167000000-168000000	19	9	61	28	Nonsyntenic
4:168000000-169000000	38	8	59	30	Nonsyntenic
4:169000000-170000000	24	0	64	28	maize2
4:170000000-171000000	17	0	70	30	Nonsyntenic
4:171000000-172000000	16	0	67	40	maize2
4:172000000-173000000	27	0	64	33	maize2
4:173000000-174000000	25	0	71	35	maize2
4:174000000-175000000	32	0	68	35	maize2
4:175000000-176000000	31	4	55	26	maize2
4:176000000-177000000	37	2	62	36	maize2
4:177000000-178000000	22	0	66	34	maize2
4:178000000-179000000	22	0	57	34	maize2
4:179000000-180000000	20	3	71	25	maize2
4:180000000-181000000	26	0	61	30	maize2
4:181000000-182000000	27	4	65	25	maize2
4:182000000-183000000	13	0	83	27	Nonsyntenic
4:183000000-184000000	27	5	67	33	maize2
4:184000000-185000000	23	0	61	38	maize2
4:185000000-186000000	21	0	69	31	maize2
4:186000000-187000000	23	0	71	24	Nonsyntenic
4:187000000-188000000	30	4	67	35	Nonsyntenic
4:188000000-189000000	34	4	62	38	maize1
4:189000000-190000000	35	6	64	33	maize1
4:190000000-191000000	35	4	62	36	maize1
4:191000000-192000000	28	4	63	40	maize1
4:192000000-193000000	27	0	55	31	maize1
4:193000000-194000000	25	3	64	39	maize1
4:194000000-195000000	18	2	67	25	Nonsyntenic
4:195000000-196000000	25	5	62	35	maize1
4:196000000-197000000	18	3	53	27	maize1
4:197000000-198000000	22	2	58	41	Nonsyntenic
4:198000000-199000000	20	0	72	25	maize2
4:199000000-200000000	33	0	59	32	Nonsyntenic
4:200000000-201000000	19	2	55	31	Nonsyntenic
4:201000000-202000000	27	4	67	39	Nonsyntenic
4:202000000-203000000	41	4	56	45	maize2
4:203000000-204000000	24	0	70	33	maize2
4:204000000-205000000	19	0	55	30	Nonsyntenic
4:205000000-206000000	26	4	62	38	maize1
4:206000000-207000000	22	2	57	32	maize1
4:207000000-208000000	18	6	60	35	Nonsyntenic
4:208000000-209000000	13	1	68	21	Nonsyntenic
4:209000000-210000000	11	0	53	21	maize1
4:210000000-211000000	14	2	60	21	maize1
4:211000000-212000000	11	0	55	20	maize1
4:212000000-213000000	13	0	59	30	Nonsyntenic
4:213000000-214000000	16	0	59	31	Nonsyntenic
4:214000000-215000000	16	3	66	23	maize1
4:215000000-216000000	10	0	53	26	Nonsyntenic
4:216000000-217000000	10	0	61	32	Nonsyntenic
4:217000000-218000000	11	0	61	20	maize1
4:218000000-219000000	16	0	55	26	maize1
4:219000000-220000000	14	2	63	30	Nonsyntenic
4:220000000-221000000	20	2	54	35	maize2
4:221000000-222000000	12	0	63	26	Nonsyntenic
4:222000000-223000000	13	0	49	32	Nonsyntenic
4:223000000-224000000	19	0	61	35	Nonsyntenic
4:224000000-225000000	13	2	58	32	Nonsyntenic
4:225000000-226000000	17	0	56	21	Nonsyntenic
4:226000000-227000000	16	4	59	24	Nonsyntenic
4:227000000-228000000	22	4	61	31	Nonsyntenic
4:228000000-229000000	16	4	58	25	Nonsyntenic
4:229000000-230000000	7	0	39	10	maize2
4:230000000-231000000	17	3	66	23	maize2
4:231000000-232000000	15	3	60	27	maize2
4:232000000-233000000	12	2	72	31	Nonsyntenic
4:233000000-234000000	28	9	64	44	Nonsyntenic
4:234000000-235000000	14	0	63	27	maize2
4:235000000-236000000	20	6	59	27	maize2
4:236000000-237000000	17	0	67	30	maize2
4:237000000-238000000	13	5	64	17	maize2
4:238000000-239000000	35	1	61	28	maize2
4:239000000-240000000	37	1	55	40	Nonsyntenic
4:240000000-241000000	46	3	51	36	Nonsyntenic
4:241000000-242000000	35	5	61	25	maize2
4:242000000-243000000	47	5	53	32	maize2
4:243000000-244000000	48	11	57	40	Nonsyntenic
4:244000000-245000000	48	2	56	36	Nonsyntenic
4:245000000-246000000	53	8	64	39	Nonsyntenic
4:246000000-246994605	27	2	62	20	Nonsyntenic
5:0-1000000	45	0	60	23	maize2
5:1000000-2000000	75	5	51	37	maize2
5:2000000-3000000	70	9	44	34	maize2
5:3000000-4000000	50	2	56	28	maize2
5:4000000-5000000	52	8	45	36	maize2
5:5000000-6000000	47	0	58	37	maize2
5:6000000-7000000	58	8	57	38	maize2
5:7000000-8000000	45	2	50	40	maize2
5:8000000-9000000	43	0	62	43	maize2
5:9000000-10000000	21	2	67	41	maize2
5:10000000-11000000	36	1	58	42	maize2
5:11000000-12000000	30	3	63	35	maize2
5:12000000-13000000	49	0	55	36	maize2
5:13000000-14000000	32	2	70	33	maize2
5:14000000-15000000	35	2	55	34	maize2
5:15000000-16000000	42	3	59	35	maize2
5:16000000-17000000	30	2	67	28	maize2
5:17000000-18000000	19	0	68	36	maize2
5:18000000-19000000	32	6	65	35	maize2
5:19000000-20000000	34	0	59	34	maize2
5:20000000-21000000	20	4	67	19	maize2
5:21000000-22000000	27	3	57	30	maize2
5:22000000-23000000	18	0	63	35	maize2
5:23000000-24000000	22	0	69	30	maize2
5:24000000-25000000	28	4	65	35	maize2
5:25000000-26000000	16	3	61	26	maize2
5:26000000-27000000	21	1	66	33	Nonsyntenic
5:27000000-28000000	18	0	62	35	maize2
5:28000000-29000000	15	0	66	55	maize2
5:29000000-30000000	11	0	67	27	maize2
5:30000000-31000000	15	0	69	32	maize2
5:31000000-32000000	23	3	62	19	maize2
5:32000000-33000000	21	4	63	34	maize2
5:33000000-34000000	19	2	66	45	maize2
5:34000000-35000000	33	4	58	34	maize2
5:35000000-36000000	17	0	65	38	maize2
5:36000000-37000000	17	2	71	35	maize2
5:37000000-38000000	11	0	59	25	maize2
5:38000000-39000000	19	2	63	24	maize2
5:39000000-40000000	10	0	66	24	maize2
5:40000000-41000000	18	2	64	31	Nonsyntenic
5:41000000-42000000	15	2	63	37	Nonsyntenic
5:42000000-43000000	17	3	62	22	Nonsyntenic
5:43000000-44000000	15	4	63	33	maize1
5:44000000-45000000	16	4	60	32	Nonsyntenic
5:45000000-46000000	11	0	73	24	Nonsyntenic
5:46000000-47000000	11	0	70	31	maize2
5:47000000-48000000	8	3	60	31	Nonsyntenic
5:48000000-49000000	9	2	78	23	Nonsyntenic
5:49000000-50000000	20	3	62	26	maize1
5:50000000-51000000	18	0	61	28	maize1
5:51000000-52000000	20	2	71	32	Nonsyntenic
5:52000000-53000000	14	2	63	31	Nonsyntenic
5:53000000-54000000	14	2	49	23	maize1
5:54000000-55000000	23	3	66	28	Nonsyntenic
5:55000000-56000000	13	6	79	32	maize1
5:56000000-57000000	13	5	59	28	maize1
5:57000000-58000000	20	4	73	27	maize1
5:58000000-59000000	17	0	70	27	maize1
5:59000000-60000000	17	0	70	36	maize1
5:60000000-61000000	22	5	67	32	maize1
5:61000000-62000000	27	3	63	31	maize1
5:62000000-63000000	18	0	67	28	maize1
5:63000000-64000000	21	0	74	31	maize1
5:64000000-65000000	19	6	64	22	maize1
5:65000000-66000000	13	2	62	26	maize1
5:66000000-67000000	20	2	71	24	maize1
5:67000000-68000000	24	2	73	26	Nonsyntenic
5:68000000-69000000	16	0	62	19	maize1
5:69000000-70000000	16	4	82	25	maize1
5:70000000-71000000	20	2	70	31	maize1
5:71000000-72000000	19	1	80	28	maize1
5:72000000-73000000	30	3	65	27	maize1
5:73000000-74000000	24	8	66	40	maize1
5:74000000-75000000	15	9	77	21	maize1
5:75000000-76000000	17	2	63	25	maize1
5:76000000-77000000	28	0	70	33	maize1
5:77000000-78000000	7	0	60	24	maize1
5:78000000-79000000	30	2	62	34	maize1
5:79000000-80000000	16	3	68	20	maize1
5:80000000-81000000	16	3	68	30	maize1
5:81000000-82000000	18	2	70	31	maize1
5:82000000-83000000	23	0	71	31	maize1
5:83000000-84000000	10	0	72	27	maize1
5:84000000-85000000	21	0	75	32	maize1
5:85000000-86000000	14	0	61	28	maize1
5:86000000-87000000	13	2	72	30	maize1
5:87000000-88000000	16	0	55	24	maize1
5:88000000-89000000	14	0	66	28	maize1
5:89000000-90000000	20	0	73	21	maize1
5:90000000-91000000	12	2	63	26	maize1
5:91000000-92000000	17	0	65	30	maize1
5:92000000-93000000	8	0	68	30	maize1
5:93000000-94000000	11	2	68	25	maize1
5:94000000-95000000	8	0	66	29	maize1
5:95000000-96000000	8	0	72	30	maize1
5:96000000-97000000	14	0	77	36	maize1
5:97000000-98000000	9	2	68	15	maize1
5:98000000-99000000	11	0	69	28	maize1
5:99000000-100000000	8	2	73	21	maize1
5:100000000-101000000	17	2	73	27	maize1
5:101000000-102000000	9	0	61	26	maize1
5:102000000-103000000	11	2	65	19	maize1
5:103000000-104000000	9	0	73	29	maize1
5:104000000-105000000	5	0	75	20	Nonsyntenic
5:105000000-106000000	10	0	66	19	Nonsyntenic
5:106000000-107000000	1	0	52	21	Nonsyntenic
5:107000000-108000000	7	0	70	29	Nonsyntenic
5:108000000-109000000	8	0	67	18	Nonsyntenic
5:109000000-110000000	4	0	81	23	Nonsyntenic
5:110000000-111000000	5	2	67	29	Nonsyntenic
5:111000000-112000000	3	0	71	12	Nonsyntenic
5:112000000-113000000	4	0	60	20	maize1
5:113000000-114000000	2	0	70	17	maize1
5:114000000-115000000	5	0	74	28	maize1
5:115000000-116000000	7	0	67	19	maize1
5:116000000-117000000	5	0	65	15	maize1
5:117000000-118000000	2	0	74	28	maize1
5:118000000-119000000	12	0	76	30	maize1
5:119000000-120000000	4	0	68	36	maize1
5:120000000-121000000	3	0	74	31	maize1
5:121000000-122000000	7	0	74	16	maize1
5:122000000-123000000	3	0	57	20	maize1
5:123000000-124000000	8	3	53	27	maize1
5:124000000-125000000	9	2	54	26	maize1
5:125000000-126000000	5	0	74	27	maize1
5:126000000-127000000	7	0	59	21	maize1
5:127000000-128000000	14	0	66	31	maize1
5:128000000-129000000	4	0	60	21	Nonsyntenic
5:129000000-130000000	14	0	70	28	Nonsyntenic
5:130000000-131000000	6	3	64	17	Nonsyntenic
5:131000000-132000000	6	0	58	26	Nonsyntenic
5:132000000-133000000	11	0	70	29	Nonsyntenic
5:133000000-134000000	9	0	67	30	Nonsyntenic
5:134000000-135000000	11	2	59	18	Nonsyntenic
5:135000000-136000000	6	2	71	22	Nonsyntenic
5:136000000-137000000	6	0	72	23	maize1
5:137000000-138000000	5	0	76	26	maize1
5:138000000-139000000	8	0	64	21	maize1
5:139000000-140000000	11	0	68	28	maize1
5:140000000-141000000	15	5	67	28	maize1
5:141000000-142000000	11	2	68	30	maize1
5:142000000-143000000	11	0	72	37	maize1
5:143000000-144000000	11	2	69	29	maize1
5:144000000-145000000	12	0	64	30	maize1
5:145000000-146000000	11	2	67	17	maize1
5:146000000-147000000	11	7	66	32	maize1
5:147000000-148000000	14	2	69	25	maize1
5:148000000-149000000	17	6	71	35	maize1
5:149000000-150000000	5	0	67	35	maize1
5:150000000-151000000	20	4	55	33	maize1
5:151000000-152000000	14	0	60	27	maize1
5:152000000-153000000	4	0	77	32	maize1
5:153000000-154000000	7	0	76	25	maize1
5:154000000-155000000	7	2	61	21	maize1
5:155000000-156000000	16	0	69	36	maize1
5:156000000-157000000	17	2	69	18	maize1
5:157000000-158000000	11	0	65	22	maize1
5:158000000-159000000	13	0	54	34	maize1
5:159000000-160000000	13	0	63	30	maize1
5:160000000-161000000	17	6	65	38	maize1
5:161000000-162000000	15	5	74	31	maize1
5:162000000-163000000	24	5	54	33	Nonsyntenic
