Interval	N_Genes	N_Tandem	N_RNATE	N_DNATE	Subgenome
1:139000000-140000000	5	0	60	21	Nonsyntenic
1:140000000-141000000	9	0	64	16	Nonsyntenic
1:141000000-142000000	3	0	71	23	maize1
1:142000000-143000000	12	2	59	29	maize1
1:143000000-144000000	12	0	68	22	maize1
1:144000000-145000000	9	0	64	25	Nonsyntenic
1:145000000-146000000	3	0	76	21	Nonsyntenic
1:146000000-147000000	7	0	71	25	Nonsyntenic
1:147000000-148000000	7	0	67	22	Nonsyntenic
1:148000000-149000000	9	0	55	24	Nonsyntenic
1:149000000-150000000	7	0	67	25	maize1
1:150000000-151000000	10	0	59	18	maize1
1:151000000-152000000	10	0	62	37	maize1
1:152000000-153000000	20	2	64	25	maize1
1:153000000-154000000	5	0	80	21	maize1
1:154000000-155000000	9	1	64	25	maize1
1:155000000-156000000	6	1	70	29	maize1
1:156000000-157000000	8	0	61	20	maize1
1:157000000-158000000	6	0	57	27	maize1
1:158000000-159000000	15	0	68	26	maize1
1:159000000-160000000	17	0	50	23	Nonsyntenic
1:160000000-161000000	7	2	69	28	Nonsyntenic
1:161000000-162000000	11	4	58	28	Nonsyntenic
1:162000000-163000000	17	2	63	27	Nonsyntenic
1:163000000-164000000	9	2	77	31	maize1
1:164000000-165000000	14	0	65	23	maize1
1:165000000-166000000	3	0	56	26	maize1
1:166000000-167000000	17	2	66	26	maize1
1:167000000-168000000	14	11	67	30	maize1
1:168000000-169000000	17	2	60	30	maize1
1:169000000-170000000	10	0	71	35	maize1
1:170000000-171000000	6	2	74	24	maize1
1:171000000-172000000	3	0	68	28	maize1
1:172000000-173000000	21	0	63	36	maize1
1:173000000-174000000	9	0	67	28	maize1
1:174000000-175000000	25	2	69	30	maize1
1:175000000-176000000	18	0	72	31	maize1
1:176000000-177000000	15	2	66	32	maize1
1:177000000-178000000	15	0	70	32	maize1
1:178000000-179000000	13	2	72	31	maize1
1:179000000-180000000	16	4	69	34	maize1
1:180000000-181000000	9	0	63	26	Nonsyntenic
1:181000000-182000000	25	4	72	34	Nonsyntenic
1:182000000-183000000	25	2	68	34	Nonsyntenic
1:183000000-184000000	11	3	66	30	Nonsyntenic
1:184000000-185000000	26	2	68	42	Nonsyntenic
1:185000000-186000000	28	6	62	34	maize1
1:186000000-187000000	18	1	64	29	maize1
1:187000000-188000000	26	16	76	32	Nonsyntenic
1:188000000-189000000	7	3	73	29	Nonsyntenic
1:189000000-190000000	28	5	64	28	Nonsyntenic
1:190000000-191000000	21	0	58	30	maize1
1:191000000-192000000	29	0	67	35	maize1
1:192000000-193000000	31	6	66	26	maize1
1:193000000-194000000	17	2	70	23	maize1
1:194000000-195000000	17	2	67	28	maize1
1:195000000-196000000	24	0	66	38	maize1
1:196000000-197000000	26	0	61	33	maize1
1:197000000-198000000	23	2	56	41	maize1
1:198000000-199000000	35	4	70	41	maize1
1:199000000-200000000	21	0	61	33	maize1
1:200000000-201000000	21	0	64	36	Nonsyntenic
1:201000000-202000000	22	4	66	29	maize1
1:202000000-203000000	31	7	61	37	maize1
1:203000000-204000000	20	0	68	26	maize1
1:204000000-205000000	22	0	60	36	maize1
1:205000000-206000000	19	0	62	37	maize1
1:206000000-207000000	20	3	66	22	maize1
1:207000000-208000000	27	8	68	41	maize1
1:208000000-209000000	25	2	60	48	maize1
1:209000000-210000000	28	7	63	31	maize1
1:210000000-211000000	18	6	60	34	Nonsyntenic
1:211000000-212000000	21	0	59	38	maize1
1:212000000-213000000	17	4	63	32	maize1
1:213000000-214000000	22	0	59	40	maize1
1:214000000-215000000	18	0	68	25	maize1
1:215000000-216000000	16	2	60	36	maize1
1:216000000-217000000	18	0	60	28	maize1
1:217000000-218000000	23	0	61	29	maize1
1:218000000-219000000	16	5	65	28	maize1
1:219000000-220000000	19	0	62	33	Nonsyntenic
1:220000000-221000000	14	2	48	30	maize1
1:221000000-222000000	15	0	67	45	maize1
1:222000000-223000000	18	0	57	30	Nonsyntenic
1:223000000-224000000	18	0	55	22	Nonsyntenic
1:224000000-225000000	21	0	67	30	maize1
1:225000000-226000000	32	7	57	34	Nonsyntenic
1:226000000-227000000	24	2	56	34	maize1
1:227000000-228000000	21	2	59	34	maize1
1:228000000-229000000	27	2	68	30	maize1
1:229000000-230000000	28	2	63	42	maize1
1:230000000-231000000	28	4	64	24	maize1
1:231000000-232000000	25	2	68	36	maize1
1:232000000-233000000	27	6	55	35	maize1
1:233000000-234000000	30	0	64	34	maize1
1:234000000-235000000	13	2	68	38	maize1
1:235000000-236000000	12	1	61	37	maize1
1:236000000-237000000	16	1	67	21	maize1
1:237000000-238000000	27	4	54	33	Nonsyntenic
1:238000000-239000000	26	4	60	32	Nonsyntenic
1:239000000-240000000	30	8	57	25	maize1
1:240000000-241000000	18	3	50	32	maize1
1:241000000-242000000	20	7	67	32	maize1
1:242000000-243000000	19	0	47	23	maize1
1:243000000-244000000	15	2	64	30	maize1
1:244000000-245000000	23	4	56	30	maize1
1:245000000-246000000	22	2	66	28	maize1
1:246000000-247000000	15	0	56	28	maize1
1:247000000-248000000	18	4	64	25	maize1
1:248000000-249000000	19	2	63	18	Nonsyntenic
1:249000000-250000000	20	7	63	34	maize1
1:250000000-251000000	29	0	40	27	maize1
1:251000000-252000000	14	4	65	25	maize1
1:252000000-253000000	28	2	55	30	maize1
1:253000000-254000000	17	6	69	26	Nonsyntenic
1:254000000-255000000	17	2	65	28	Nonsyntenic
1:255000000-256000000	21	1	67	36	maize1
1:256000000-257000000	19	6	70	31	maize1
1:257000000-258000000	18	1	72	32	Nonsyntenic
1:258000000-259000000	24	2	47	29	maize1
1:259000000-260000000	23	2	67	29	maize1
1:260000000-261000000	19	2	68	32	Nonsyntenic
1:261000000-262000000	23	0	59	35	maize1
1:262000000-263000000	33	15	64	42	Nonsyntenic
1:263000000-264000000	31	4	61	38	maize1
1:264000000-265000000	19	2	68	31	maize1
1:265000000-266000000	21	4	70	34	Nonsyntenic
1:266000000-267000000	15	2	60	25	maize1
1:267000000-268000000	29	2	68	33	maize1
1:268000000-269000000	22	2	58	31	maize1
1:269000000-270000000	41	5	62	34	maize1
1:270000000-271000000	11	0	58	29	maize1
1:271000000-272000000	24	8	76	26	maize1
1:272000000-273000000	33	1	55	42	maize1
1:273000000-274000000	24	1	67	36	maize1
1:274000000-275000000	25	0	63	31	maize1
1:275000000-276000000	24	2	56	29	maize1
1:276000000-277000000	13	2	64	36	maize1
1:277000000-278000000	21	4	61	31	maize1
1:278000000-279000000	27	1	55	39	maize1
1:279000000-280000000	32	2	57	32	maize1
1:280000000-281000000	23	2	67	32	maize1
1:281000000-282000000	30	2	67	27	maize1
1:282000000-283000000	24	6	62	34	maize1
1:283000000-284000000	31	7	62	43	maize1
1:284000000-285000000	27	6	57	40	maize1
1:285000000-286000000	34	4	66	33	maize1
1:286000000-287000000	27	2	62	36	maize1
1:287000000-288000000	25	2	67	44	maize1
1:288000000-289000000	39	4	53	43	Nonsyntenic
1:289000000-290000000	14	6	69	25	Nonsyntenic
1:290000000-291000000	25	0	58	34	maize1
1:291000000-292000000	23	5	69	32	maize1
1:292000000-293000000	34	7	57	27	maize1
1:293000000-294000000	25	11	60	38	maize1
1:294000000-295000000	34	4	64	42	maize1
1:295000000-296000000	34	6	75	33	maize1
